Categorie: Toate categoriile

Week,weight lifting: (România),muscle growth: (România),weight loss: (România),weight training: (România),yoga: (România)
2018-03-18,0,2,4,0,75
2018-03-25,2,0,9,3,71
2018-04-01,0,1,9,2,74
2018-04-08,0,2,10,0,65
2018-04-15,3,0,11,0,62
2018-04-22,0,0,8,2,47
2018-04-29,1,0,6,0,68
2018-05-06,0,0,8,3,63
2018-05-13,1,0,6,1,63
2018-05-20,0,2,6,3,59
2018-05-27,0,4,9,0,64
2018-06-03,5,1,5,0,59
2018-06-10,0,0,7,0,63
2018-06-17,0,0,6,1,66
2018-06-24,1,0,7,2,58
2018-07-01,0,0,6,0,65
2018-07-08,0,0,8,0,57
2018-07-15,1,0,5,0,64
2018-07-22,0,0,6,0,74
2018-07-29,0,0,9,1,81
2018-08-05,1,1,9,0,71
2018-08-12,1,0,5,0,70
2018-08-19,0,2,11,0,78
2018-08-26,1,0,9,0,84
2018-09-02,0,0,5,0,66
2018-09-09,0,2,8,0,68
2018-09-16,0,0,7,4,64
2018-09-23,4,0,6,1,70
2018-09-30,0,0,12,1,60
2018-10-07,0,0,7,0,60
2018-10-14,2,0,9,0,71
2018-10-21,3,0,6,0,64
2018-10-28,1,2,7,0,60
2018-11-04,3,0,7,2,68
2018-11-11,0,0,9,0,65
2018-11-18,0,2,8,0,68
2018-11-25,0,0,6,0,70
2018-12-02,0,0,7,0,71
2018-12-09,1,0,7,1,68
2018-12-16,1,0,7,1,69
2018-12-23,0,1,4,0,76
2018-12-30,0,0,11,2,80
2019-01-06,0,1,7,2,80
2019-01-13,1,1,10,0,70
2019-01-20,1,1,6,2,79
2019-01-27,1,2,5,0,73
2019-02-03,0,0,7,0,81
2019-02-10,1,2,10,0,71
2019-02-17,1,0,10,0,67
2019-02-24,3,0,9,0,59
2019-03-03,0,2,7,0,70
2019-03-10,0,0,15,2,64
2019-03-17,0,0,10,3,62
2019-03-24,0,1,9,0,62
2019-03-31,0,0,12,3,56
2019-04-07,3,0,10,0,65
2019-04-14,0,0,9,1,58
2019-04-21,0,0,6,2,68
2019-04-28,0,2,6,0,68
2019-05-05,0,0,8,0,61
2019-05-12,0,0,10,0,59
2019-05-19,0,0,8,0,58
2019-05-26,2,1,9,0,57
2019-06-02,0,0,13,1,50
2019-06-09,0,0,9,0,50
2019-06-16,1,4,10,0,54
2019-06-23,0,2,6,2,64
2019-06-30,0,1,8,0,56
2019-07-07,1,6,6,2,60
2019-07-14,0,0,10,2,61
2019-07-21,3,2,10,0,58
2019-07-28,1,0,10,0,56
2019-08-04,0,1,12,0,62
2019-08-11,0,2,6,0,59
2019-08-18,0,0,9,0,62
2019-08-25,3,0,9,0,63
2019-09-01,1,2,11,0,67
2019-09-08,0,0,6,0,60
2019-09-15,0,1,5,0,59
2019-09-22,1,0,7,0,69
2019-09-29,2,0,6,0,66
2019-10-06,3,2,7,0,65
2019-10-13,1,1,12,2,54
2019-10-20,1,0,9,0,62
2019-10-27,1,1,12,0,70
2019-11-03,1,0,7,0,60
2019-11-10,0,0,5,2,66
2019-11-17,3,0,6,0,63
2019-11-24,0,1,6,0,67
2019-12-01,1,1,5,1,52
2019-12-08,0,1,8,0,67
2019-12-15,1,0,7,2,58
2019-12-22,2,1,10,0,71
2019-12-29,0,2,11,0,77
2020-01-05,0,0,10,1,75
2020-01-12,0,2,11,0,76
2020-01-19,1,1,10,0,76
2020-01-26,0,0,9,0,62
2020-02-02,1,1,10,0,68
2020-02-09,1,0,8,0,64
2020-02-16,3,1,8,0,69
2020-02-23,0,1,12,1,72
2020-03-01,1,0,7,1,68
2020-03-08,0,2,6,0,57
2020-03-15,1,0,9,0,75
2020-03-22,1,1,5,1,86
2020-03-29,1,1,10,0,89
2020-04-05,2,0,15,1,88
2020-04-12,1,1,13,0,90
2020-04-19,0,0,13,0,100
2020-04-26,2,0,11,1,75
2020-05-03,0,0,16,2,74
2020-05-10,0,1,17,0,66
2020-05-17,0,0,11,1,60
2020-05-24,1,0,9,1,61
2020-05-31,1,1,12,0,77
2020-06-07,1,0,12,0,61
2020-06-14,0,0,11,0,59
2020-06-21,0,0,15,1,46
2020-06-28,0,2,15,0,53
2020-07-05,0,3,9,1,55
2020-07-12,2,0,13,0,52
2020-07-19,0,0,13,0,51
2020-07-26,0,0,9,0,53
2020-08-02,0,0,11,2,50
2020-08-09,0,1,13,2,60
2020-08-16,2,2,8,0,58
2020-08-23,1,1,10,0,54
2020-08-30,0,0,12,1,48
2020-09-06,6,1,8,1,61
2020-09-13,1,1,13,0,55
2020-09-20,1,0,6,0,56
2020-09-27,2,2,7,1,49
2020-10-04,0,2,7,0,50
2020-10-11,0,2,6,0,56
2020-10-18,0,0,8,0,52
2020-10-25,0,0,8,1,51
2020-11-01,0,5,6,1,57
2020-11-08,0,1,6,0,60
2020-11-15,0,1,8,0,53
2020-11-22,2,0,7,1,59
2020-11-29,1,0,6,0,49
2020-12-06,0,1,7,1,51
2020-12-13,0,2,6,0,50
2020-12-20,3,2,3,0,59
2020-12-27,5,0,12,0,56
2021-01-03,1,2,12,2,74
2021-01-10,0,1,8,0,62
2021-01-17,0,2,8,0,51
2021-01-24,1,1,9,1,52
2021-01-31,1,3,7,1,57
2021-02-07,1,1,11,0,55
2021-02-14,1,1,9,1,60
2021-02-21,0,4,6,0,49
2021-02-28,0,1,8,1,54
2021-03-07,1,1,9,2,54
2021-03-14,0,1,9,0,54
2021-03-21,1,0,8,0,55
2021-03-28,0,2,8,0,56
2021-04-04,0,0,9,0,53
2021-04-11,0,1,9,1,58
2021-04-18,0,0,9,3,50
2021-04-25,0,1,9,0,48
2021-05-02,2,0,12,0,59
2021-05-09,0,1,9,2,50
2021-05-16,1,0,11,0,47
2021-05-23,0,1,13,0,49
2021-05-30,2,0,10,2,40
2021-06-06,1,0,10,1,48
2021-06-13,1,3,10,0,39
2021-06-20,4,3,15,0,46
2021-06-27,2,0,9,0,47
2021-07-04,2,0,13,0,39
2021-07-11,3,0,10,1,41
2021-07-18,3,0,8,0,42
2021-07-25,2,2,10,0,46
2021-08-01,1,2,7,2,40
2021-08-08,0,2,10,0,51
2021-08-15,6,0,13,2,43
2021-08-22,2,2,9,0,46
2021-08-29,0,0,11,2,49
2021-09-05,0,1,8,2,54
2021-09-12,3,3,8,1,46
2021-09-19,0,1,9,0,41
2021-09-26,2,0,12,0,41
2021-10-03,0,1,3,0,45
2021-10-10,2,0,7,0,47
2021-10-17,0,2,7,3,46
2021-10-24,1,0,14,0,45
2021-10-31,2,3,9,1,47
2021-11-07,0,1,6,0,48
2021-11-14,0,0,11,1,47
2021-11-21,3,0,10,0,47
2021-11-28,2,1,9,0,54
2021-12-05,1,3,10,0,54
2021-12-12,1,2,8,0,54
2021-12-19,0,2,9,0,59
2021-12-26,0,0,12,2,64
2022-01-02,1,2,13,0,69
2022-01-09,0,2,13,0,66
2022-01-16,0,2,9,0,52
2022-01-23,1,0,10,2,59
2022-01-30,0,1,9,2,61
2022-02-06,0,0,10,1,57
2022-02-13,1,1,10,0,50
2022-02-20,1,0,12,0,50
2022-02-27,1,1,13,1,54
2022-03-06,0,0,9,0,58
2022-03-13,1,1,14,0,46
2022-03-20,0,2,13,1,54
2022-03-27,1,2,11,0,49
2022-04-03,0,0,12,0,50
2022-04-10,0,1,12,1,55
2022-04-17,3,2,11,0,48
2022-04-24,2,0,9,0,50
2022-05-01,1,1,14,1,47
2022-05-08,0,2,16,0,42
2022-05-15,0,3,19,0,43
2022-05-22,0,1,13,1,47
2022-05-29,2,0,13,0,47
